task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating
"Report delays, mechanical problems, and emergencies to supervisors or dispatchers, using radios.",Subway and Streetcar Operators,20,2.15,2.0,4,1,1.75,3.0
Submit daily reports on facility operations.,Gas Compressor and Gas Pumping Station Operators,20,2.15,2.0,4,1,1.0,3.0
"Read gauges or charts, and record data obtained.",Helpers--Production Workers,20,2.1,2.0,4,1,1.0,3.0
"Recommend or implement methods to monitor, evaluate, or enable resolution of safety, operations, or compliance interruptions.",Business Continuity Planners,20,2.1,2.0,3,1,1.0,3.0
"Prepare work orders for repair, maintenance, or changes in traffic systems.",Traffic Technicians,20,2.05,2.0,4,1,1.0,3.0
"Record specifications, production operations, and final dimensions of models for use in establishing operating standards and procedures.","Model Makers, Metal and Plastic",20,2.05,2.0,3,1,1.0,3.0
Compile and evaluate clinical practice statistics.,Midwives,20,2.0,2.0,4,1,1.0,2.25
"Perform managerial functions, such as preparing proposals and budgets, analyzing labor costs, and writing reports.",Materials Engineers,20,2.0,2.0,4,1,2.0,2.0
"Report vehicle defects, accidents, traffic violations, or damage to the vehicles.",Heavy and Tractor-Trailer Truck Drivers,20,2.0,2.0,3,1,1.75,2.25
Review papers for publication in journals.,"Biological Science Teachers, Postsecondary",20,2.0,2.0,4,1,1.0,2.25
"Take readings and record data, such as water levels, temperatures, or flow rates.",Hydroelectric Plant Technicians,20,2.0,2.0,4,1,1.0,3.0
Record instrument readings and operational changes in operating logs.,Gas Compressor and Gas Pumping Station Operators,20,1.95,2.0,3,1,1.0,3.0
Report facts concerning accidents or emergencies to hospital personnel or law enforcement officials.,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",20,1.95,2.0,3,1,1.75,2.0
Review books and journal articles for potential publication.,"History Teachers, Postsecondary",20,1.95,2.0,4,1,1.0,2.25
Review books and journal articles for potential publication.,"Psychology Teachers, Postsecondary",20,1.95,2.0,4,1,1.0,2.25
Review manuscripts for publication in books and professional journals.,"Anthropology and Archeology Teachers, Postsecondary",20,1.95,2.0,4,1,1.0,2.25
Review papers for colleagues and scientific journals.,"Forestry and Conservation Science Teachers, Postsecondary",20,1.95,2.0,4,1,1.0,2.25
"Review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",20,1.95,2.0,4,1,1.0,2.25
"Review papers or serve on editorial boards for scientific journals, and review grant proposals for various agencies.","Environmental Science Teachers, Postsecondary",20,1.95,2.0,4,1,1.0,2.25
"Record operating data, such as the results of surveillance tests.",Nuclear Power Reactor Operators,20,1.9,2.0,3,1,1.0,3.0
"Arrange for ships to be fueled, restocked with supplies, or repaired.","Captains, Mates, and Pilots of Water Vessels",20,1.85,2.0,4,1,1.0,2.0
"Arrange repairs, fuel, and supplies for vessels.",Motorboat Operators,20,1.85,2.0,4,1,1.0,2.0
"Inspect freight cars for compliance with sealing procedures, and record car numbers and seal numbers.",Railroad Conductors and Yardmasters,20,1.85,2.0,3,1,1.0,2.25
"Observe and record car numbers, carriers, customers, tonnages, and grades and conditions of material.","Loading and Moving Machine Operators, Underground Mining",20,1.85,2.0,3,1,1.0,2.25
"Record details about freight conditions, handling of freight, and any problems encountered.",Transportation Inspectors,20,1.85,2.0,3,1,1.0,2.25
Record details of machine malfunctions.,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",20,1.85,2.0,3,1,1.0,2.25
Write and submit maintenance work requisitions.,Bridge and Lock Tenders,20,1.85,2.0,4,1,1.0,2.0
Enter data into computer and set controls to operate or adjust equipment or regulate dosage.,Radiation Therapists,20,1.8,2.0,3,1,1.0,2.0
Evaluate employee performance and prepare performance appraisals.,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",20,1.8,1.0,5,1,1.0,2.25
Arrange for the removal of defective cars from trains at stations or stops.,Railroad Conductors and Yardmasters,20,1.75,2.0,4,1,1.0,2.0
Assess employee performance.,Industrial-Organizational Psychologists,20,1.75,1.0,4,1,1.0,3.0
Evaluate the effectiveness of prescribed risk reduction measures or other interventions.,Preventive Medicine Physicians,20,1.75,2.0,3,1,1.0,2.0
"Inspect tracks, cars, and engines for defects and to determine service needs, sending engines and cars for repairs as necessary.","Railroad Brake, Signal, and Switch Operators and Locomotive Firers",20,1.75,2.0,4,1,1.0,2.0
"Perform administrative duties, such as fundraising, public relations, budgeting, and supervision of zoo staff.",Zoologists and Wildlife Biologists,20,1.75,2.0,2,1,1.75,2.0
"Apply new technologies, such as improved seismic imaging techniques, to locate untapped oil or natural gas deposits.","Geological Technicians, Except Hydrologic Technicians",20,1.7,2.0,2,1,1.0,2.0
"Evaluate nursing intervention outcomes, conferring with other healthcare team members as necessary.",Licensed Practical and Licensed Vocational Nurses,20,1.7,2.0,3,1,1.0,2.0
Maintain pattern records for reference.,"Model Makers, Wood",20,1.7,1.0,3,1,1.0,2.25
Maintain pattern records for reference.,"Patternmakers, Wood",20,1.7,1.0,3,1,1.0,2.25
"Negotiate the sale, lease, or development of property and complete or review appropriate documents and forms.","Property, Real Estate, and Community Association Managers",20,1.7,2.0,3,1,1.0,2.0
Report any observed navigational hazards to authorities.,Motorboat Operators,20,1.7,2.0,3,1,1.0,2.0
Analyze data to determine the effectiveness of specific treatments or therapy approaches.,Music Therapists,20,1.65,1.5,3,1,1.0,2.0
Analyze data to determine the effectiveness of treatments or therapy approaches.,Art Therapists,20,1.65,1.5,3,1,1.0,2.0
Collect and compile data to document clients' performance or assess program quality.,Speech-Language Pathology Assistants,20,1.65,2.0,2,1,1.0,2.0
"Measure geological characteristics used in prospecting for oil or gas, using measuring instruments.","Geological Technicians, Except Hydrologic Technicians",20,1.65,2.0,2,1,1.0,2.0
"Perform minor aircraft maintenance and repair work, or arrange for major maintenance.",Commercial Pilots,20,1.65,2.0,2,1,1.0,2.0
"Perform minor maintenance work, or arrange for major maintenance.","Airline Pilots, Copilots, and Flight Engineers",20,1.65,2.0,2,1,1.0,2.0
"Prepare charts, graphs, or other visual displays to communicate clients' performance information.",Speech-Language Pathology Assistants,20,1.65,2.0,3,1,1.0,2.0
"Write test or inspection reports describing results, recommendations, or needed repairs.","Inspectors, Testers, Sorters, Samplers, and Weighers",20,1.65,2.0,3,1,1.0,2.0
Participate in the evaluation of possible mining locations.,"Geological Technicians, Except Hydrologic Technicians",20,1.6,2.0,3,1,1.0,2.0
Report delinquent student behaviors to school administration.,"Bus Drivers, School",20,1.6,2.0,2,1,1.0,2.0
Identify mistakes in reports and check with doctors to obtain the correct information.,Medical Transcriptionists,20,1.55,1.5,3,1,1.0,2.0
"Analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government.","Compensation, Benefits, and Job Analysis Specialists",20,1.5,1.5,2,1,1.0,2.0
Report to appropriate authorities any violations of federal or state pilotage laws.,"Captains, Mates, and Pilots of Water Vessels",20,1.5,1.5,2,1,1.0,2.0
Decide which information should be included or excluded in reports.,Medical Transcriptionists,20,1.45,1.0,2,1,1.0,2.0
Listen for jackpot alarm bells and issue payoffs to winners.,Gambling Change Persons and Booth Cashiers,20,1.45,1.0,2,1,1.0,2.0
"Identify and document stones' clarity characteristics, using plot diagrams.",Gem and Diamond Workers,20,1.4,1.0,2,1,1.0,2.0
"Identify deposits of construction materials suitable for use as concrete aggregates, road fill, or other applications.","Geoscientists, Except Hydrologists and Geographers",20,1.4,1.0,3,1,1.0,2.0
Locate potential sources of geothermal energy.,"Geoscientists, Except Hydrologists and Geographers",20,1.4,1.0,3,1,1.0,2.0
"Study characteristics of animals, such as origin, interrelationships, classification, life histories, diseases, development, genetics, and distribution.",Zoologists and Wildlife Biologists,20,1.4,1.0,2,1,1.0,2.0
"Prepare cash receipts after establishments close, and make bank deposits.","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",20,1.35,1.0,3,1,1.0,2.0
"Analyze training programs and conduct oral and written examinations to ensure the competency of persons operating, installing, and repairing aircraft equipment.",Aviation Inspectors,20,1.3,1.0,2,1,1.0,2.0
Mentor new faculty.,"Business Teachers, Postsecondary",20,1.3,1.0,3,1,1.0,1.25
Mentor new faculty.,"Sociology Teachers, Postsecondary",20,1.3,1.0,3,1,1.0,1.25
Furnish change persons with a money bank at the start of each shift.,Gambling Change Persons and Booth Cashiers,20,1.25,1.0,2,1,1.0,1.25
"Identify new sources of platinum group elements for industrial applications, such as automotive fuel cells or pollution abatement systems.","Geoscientists, Except Hydrologists and Geographers",20,1.25,1.0,2,1,1.0,1.25
Investigate and report on accidents.,Stationary Engineers and Boiler Operators,20,1.25,1.0,2,1,1.0,1.25
"Develop and print exposed film, using chemicals, touch-up tools, and developing and printing equipment.",Photographers,20,1.2,1.0,2,1,1.0,1.0
"Report to supervisors or therapists, verbally or in writing, on patients' progress, attitudes, attendance, and accomplishments.",Occupational Therapy Aides,20,1.15,1.0,2,1,1.0,1.0
"Report to supervisors, verbally or in writing, on patients' progress, attitudes, and behavior.",Occupational Therapy Assistants,20,1.15,1.0,2,1,1.0,1.0
Review and evaluate treatment procedures and outcomes of other psychiatrists or medical professionals.,Psychiatrists,20,1.15,1.0,2,1,1.0,1.0
Evaluate other pilots or pilot-license applicants for proficiency.,"Airline Pilots, Copilots, and Flight Engineers",20,1.1,1.0,2,1,1.0,1.0
Fly with other pilots or pilot-license applicants to evaluate their proficiency.,Commercial Pilots,20,1.1,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,Self-Enrichment Teachers,20,1.1,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Career/Technical Education Teachers, Middle School",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Elementary School Teachers, Except Special Education",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Kindergarten Teachers, Except Special Education",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Special Education Teachers, Middle School",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Special Education Teachers, Secondary School",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,"Teaching Assistants, Special Education",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,"Career/Technical Education Teachers, Secondary School",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,"Middle School Teachers, Except Special and Career/Technical Education",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage.,"Special Education Teachers, Elementary School",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage.,"Special Education Teachers, Kindergarten",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use and care of equipment or materials to prevent injuries and damage.,"Special Education Teachers, Preschool",20,1.05,1.0,2,1,1.0,1.0
Instruct and monitor students in the use of equipment and materials to prevent injuries and damage.,"Secondary School Teachers, Except Special and Career/Technical Education",20,1.05,1.0,2,1,1.0,1.0
"Establish, teach, and monitor students' compliance with safety rules for handling chemicals, equipment, and other hazardous materials.","Chemistry Teachers, Postsecondary",20,1.0,1.0,1,1,1.0,1.0
Create chromosome images using computer imaging systems.,Cytogenetic Technologists,19,2.58,3.0,4,1,2.0,3.0
"Inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.",Environmental Compliance Inspectors,19,2.58,3.0,4,1,2.0,3.0
"Direct availability and allocation of materials, supplies, and finished products.",Logisticians,19,2.47,3.0,4,1,1.5,3.0
"Order, label, and count stock of medications, chemicals, or supplies and enter inventory data into computer.",Pharmacy Technicians,19,2.47,3.0,4,1,1.0,3.5
"Prepare reports or correspondence concerning project specifications, activities, or status.",Software Developers,19,2.47,3.0,3,1,2.0,3.0
"Conduct chemical analyses of body fluids, such as blood or urine, using microscope or automatic analyzer to detect abnormalities or diseases and enter findings into computer.",Medical and Clinical Laboratory Technicians,19,2.42,3.0,4,1,2.0,3.0
"Collaborate with web development professionals, such as front-end or back-end developers, to complete the full scope of Web development projects.",Web and Digital Interface Designers,19,2.21,2.0,3,2,2.0,2.0
Investigate available investment opportunities to determine compatibility with client financial plans.,Personal Financial Advisors,19,2.16,2.0,3,1,2.0,2.0
"Investigate products or markets to determine areas for opportunity or viability for merchandising specific products, using online or offline sources.",Online Merchants,19,2.05,2.0,3,1,2.0,2.5
"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Software Developers,19,2.0,2.0,3,1,2.0,2.0
"Create three-dimensional images of the eye, using computed tomography (CT).",Ophthalmic Medical Technologists,19,2.0,2.0,3,1,1.0,3.0
Order flowers for guests.,Concierges,19,2.0,2.0,4,1,1.5,2.0
"Record and store suitable images, using camera unit connected to the ultrasound equipment.",Diagnostic Medical Sonographers,19,2.0,2.0,3,1,1.0,3.0
Arrange and direct delivery and installation of products and equipment.,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",19,1.95,2.0,3,1,2.0,2.0
Consult with multiple stakeholders to define requirements and implement online features.,Video Game Designers,19,1.95,2.0,3,1,2.0,2.0
"Identify opportunities for strategic improvement or mitigation of business interruption and other risks caused by business, regulatory, or industry-specific change initiatives.",Business Continuity Planners,19,1.95,2.0,3,1,2.0,2.0
"Solicit, obtain, and integrate feedback from design and technical staff into original game design.",Video Game Designers,19,1.95,2.0,3,1,2.0,2.0
"Define product requirements, based on market research analysis, in collaboration with user interface design and engineering staff.",Search Marketing Strategists,19,1.89,2.0,3,1,2.0,2.0
Assist users in formulating Geographic Information Systems (GIS) requirements or understanding the implications of alternatives.,Geographic Information Systems Technologists and Technicians,19,1.84,2.0,3,1,2.0,2.0
Guide design discussions between development teams.,Video Game Designers,19,1.84,2.0,3,1,1.5,2.0
"Identify and outline bodily structures, using imaging procedures, such as x-ray, magnetic resonance imaging, computed tomography, or positron emission tomography.",Medical Dosimetrists,19,1.84,2.0,3,1,1.0,2.5
Organize and conduct competitions and tournaments.,Exercise Trainers and Group Fitness Instructors,19,1.84,2.0,4,1,1.0,2.0
"Participate in product design reviews to provide input on functional requirements, product designs, schedules, or potential problems.",Software Quality Assurance Analysts and Testers,19,1.84,2.0,3,1,2.0,2.0
Provide test specifications to quality assurance staff.,Video Game Designers,19,1.84,2.0,3,1,1.5,2.0
Verify that delivery schedules meet project deadlines.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",19,1.84,2.0,3,1,2.0,2.0
Write reports.,Occupational Health and Safety Specialists,19,1.84,2.0,3,1,1.0,2.0
"Collaborate with system architects, software architects, design analysts, and others to understand business or industry requirements.",Database Architects,19,1.79,2.0,3,1,1.5,2.0
Communicate with staff or clients to understand specific system requirements.,Computer Systems Engineers/Architects,19,1.79,2.0,3,1,1.5,2.0
"Confer with end users to define or implement clinical system requirements such as data release formats, delivery schedules, and testing protocols.",Clinical Data Managers,19,1.79,2.0,3,1,1.5,2.0
"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Telecommunications Engineering Specialists,19,1.79,2.0,3,1,1.5,2.0
"Detect and map radiopharmaceuticals in patients' bodies, using a camera to produce photographic or computer images.",Nuclear Medicine Technologists,19,1.79,1.0,3,1,1.0,3.0
"Maintain inventory of shipping supplies, such as boxes, labels, tape, bubble wrap, loose packing materials, or tape guns.",Online Merchants,19,1.79,1.0,4,1,1.0,2.5
"Present new game design concepts to management and technical colleagues, including artists, animators, and programmers.",Video Game Designers,19,1.79,2.0,3,1,1.5,2.0
Provide feedback to designers and other colleagues regarding game design features.,Video Game Designers,19,1.79,2.0,3,1,1.5,2.0
Provide feedback to production staff regarding technical game qualities or adherence to original design.,Video Game Designers,19,1.79,2.0,3,1,1.5,2.0
Confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,Computer Systems Analysts,19,1.74,2.0,3,1,1.0,2.0
"Confer with staff, users, and management to establish requirements for new systems or modifications.",Computer User Support Specialists,19,1.74,2.0,3,1,1.0,2.0
"Consult with users, management, vendors, and technicians to determine computing needs and system requirements.",Computer and Information Research Scientists,19,1.74,2.0,3,1,1.0,2.0
"Identify opportunities to buy green commodities, such as alternative energy, water, or carbon-neutral products for resale to consumers.","Wholesale and Retail Buyers, Except Farm Products",19,1.74,2.0,3,1,1.0,2.0
"Provide support and information to functional areas such as marketing, clinical monitoring, and medical affairs.",Clinical Data Managers,19,1.74,2.0,3,1,1.0,2.0
Arrange for installation and testing of products or machinery.,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",19,1.68,2.0,2,1,1.0,2.0
Collaborate with artists to achieve appropriate visual style.,Video Game Designers,19,1.68,2.0,3,1,1.0,2.0
"Interpret engineering sketches, specifications, or drawings.",Mechanical Engineering Technologists and Technicians,19,1.68,1.0,3,1,1.0,2.0
"Write reports of daily activities and irregularities, such as equipment or property damage, theft, presence of unauthorized persons, or unusual occurrences.",Security Guards,19,1.68,1.0,4,1,1.0,2.0
Assess companies as investments for clients by examining company facilities.,Financial and Investment Analysts,19,1.63,2.0,3,1,1.0,2.0
"Communicate with customers, sales staff, or marketing staff to determine customer needs.",Computer Network Architects,19,1.63,2.0,2,1,1.0,2.0
Consult with management to ensure agreement on system principles.,Computer Systems Analysts,19,1.63,2.0,2,1,1.0,2.0
"Organize and conduct age-appropriate recreational activities, such as games, arts and crafts, sports, walks, and play dates.",Nannies,19,1.63,2.0,3,1,1.0,2.0
"Organize and participate in recreational activities and outings, such as games and field trips.",Childcare Workers,19,1.63,2.0,3,1,1.0,2.0
Pick up and deliver parts.,Parts Salespersons,19,1.63,2.0,3,1,1.0,2.0
Prepare design presentations and proposals for staff or customers.,Computer Network Architects,19,1.63,2.0,3,1,1.0,2.0
"Read and interpret electronic circuit diagrams, function block diagrams, specifications, engineering drawings, and service manuals.",Audiovisual Equipment Installers and Repairers,19,1.58,2.0,3,1,1.0,2.0
"Decide which images to include, looking for differences between healthy and pathological areas.",Diagnostic Medical Sonographers,19,1.53,1.0,3,1,1.0,2.0
Explain design specifications to integration or test engineers.,Computer Network Architects,19,1.53,1.0,3,1,1.0,2.0
Protect and control proprietary materials.,Logisticians,19,1.53,1.0,3,1,1.0,2.0
"Read and interpret engineering drawings, diagrams, instructions, or specifications to determine needed repairs, fabrication method, and operation sequence.",Camera and Photographic Equipment Repairers,19,1.53,2.0,2,1,1.0,2.0
"Write detailed reports of fire inspections performed, fire code violations observed, and corrective recommendations offered.",Fire Inspectors and Investigators,19,1.53,1.0,3,1,1.0,2.0
"Deliver arrangements to customers, or oversee employees responsible for deliveries.",Floral Designers,19,1.47,1.0,3,1,1.0,2.0
"Dispose of, or oversee the disposal of, surplus or unclaimed property.",Facilities Managers,19,1.47,1.0,3,1,1.0,2.0
Explain drawings to production or construction teams and provide adjustments as necessary.,Architectural and Civil Drafters,19,1.47,1.0,3,1,1.0,2.0
"Explain drawings to production or construction teams and provide adjustments, as necessary.",Electrical and Electronics Drafters,19,1.47,1.0,3,1,1.0,2.0
"Implement and evaluate staff, volunteer, or community training programs.",Social and Community Service Managers,19,1.47,1.0,3,1,1.0,2.0
Provide for entertainment and set up related decorations and equipment.,Recreation Workers,19,1.47,1.0,3,1,1.0,2.0
"Read and interpret maintenance manuals, service bulletins, and other specifications to determine the feasibility and method of repairing or replacing malfunctioning or damaged components.",Aircraft Mechanics and Service Technicians,19,1.47,1.0,2,1,1.0,2.0
"Supervise or perform simulations for tumor localizations, using imaging methods such as magnetic resonance imaging, computed tomography, or positron emission tomography scans.",Medical Dosimetrists,19,1.47,1.0,2,1,1.0,2.0
"Direct and participate in on- and off-campus recreational activities for residents of institutions, boarding schools, fraternities or sororities, children's homes, or similar establishments.",Residential Advisors,19,1.42,1.0,3,1,1.0,2.0
"Plan and carry out work assignments, using blueprints, schematic drawings, technical manuals, wiring diagrams, or liquid or air flow sheets, following prescribed regulations, directives, or other instructions as required.",Medical Equipment Repairers,19,1.42,1.0,2,1,1.0,2.0
Select appropriate imaging techniques or coils to produce required images.,Magnetic Resonance Imaging Technologists,19,1.42,1.0,2,1,1.0,2.0
"Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.","Education Administrators, Kindergarten through Secondary",19,1.37,1.0,3,1,1.0,2.0
"Direct special activities or events, such as aquatics, gymnastics, or performing arts.",Recreation Workers,19,1.37,1.0,3,1,1.0,2.0
"Inspect properties that store, handle, and use hazardous materials to ensure compliance with laws, codes, and regulations, and issue hazardous materials permits to facilities found in compliance.",Fire Inspectors and Investigators,19,1.37,1.0,3,1,1.0,1.5
"Plan tour itineraries, applying knowledge of travel routes and destination sites.",Travel Guides,19,1.37,1.0,4,1,1.0,1.0
"Interpret safety regulations for others interested in industrial safety, such as safety engineers, labor representatives, and safety inspectors.","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",19,1.32,1.0,3,1,1.0,1.5
Provide feedback to health service providers regarding improving service accessibility or acceptability.,Community Health Workers,19,1.32,1.0,2,1,1.0,2.0
"Translate nursing practice information between nurses and systems engineers, analysts, or designers, using object-oriented models or other techniques.",Health Informatics Specialists,19,1.32,1.0,3,1,1.0,1.5
"Deliver medications or pharmaceutical supplies to patients, nursing stations, or surgery.",Pharmacy Technicians,19,1.26,1.0,2,1,1.0,1.5
Interpret drilling and testing information for personnel.,Petroleum Engineers,19,1.26,1.0,2,1,1.0,1.5
Mentor new faculty members.,"Social Work Teachers, Postsecondary",19,1.26,1.0,3,1,1.0,1.0
"Plan special events, parties, or meetings, which may include booking musicians or celebrities.",Concierges,19,1.26,1.0,3,1,1.0,1.0
"Direct investigation of cases of suspected arson, hazards, and false alarms and submit reports outlining findings.",First-Line Supervisors of Firefighting and Prevention Workers,19,1.21,1.0,2,1,1.0,1.0
Furnish tools for employee use.,Farm Labor Contractors,19,1.21,1.0,2,1,1.0,1.0
Select travel routes and sites to be visited based on knowledge of specific areas.,Tour Guides and Escorts,19,1.21,1.0,3,1,1.0,1.0
"Conduct therapeutic, recreational, or athletic activities.",Exercise Trainers and Group Fitness Instructors,19,1.16,1.0,2,1,1.0,1.0
Contact utility companies for service hookups to clients' property.,Real Estate Sales Agents,19,1.16,1.0,2,1,1.0,1.0
"Provide food, drinking water, and field sanitation facilities to contracted workers.",Farm Labor Contractors,19,1.16,1.0,2,1,1.0,1.0
Consult with lighting director or production staff to determine lighting requirements.,Lighting Technicians,19,1.05,1.0,2,1,1.0,1.0
"Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.",Tutors,19,1.05,1.0,2,1,1.0,1.0
Arrange for disposition of fish or game illegally taken or possessed.,Fish and Game Wardens,19,1.0,1.0,1,1,1.0,1.0
Organize or conduct animal shows.,Animal Trainers,19,1.0,1.0,1,1,1.0,1.0
"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",Bioinformatics Scientists,18,3.89,4.0,5,3,3.0,4.75
Prepare summary statistics of information regarding human genomes.,Bioinformatics Scientists,18,3.89,4.0,5,3,3.0,4.75
"Notify taxpayers of any overpayment or underpayment, and either issue a refund or request further payment.","Tax Examiners and Collectors, and Revenue Agents",18,3.5,4.0,5,2,3.0,4.0
Send notices to taxpayers when accounts are delinquent.,"Tax Examiners and Collectors, and Revenue Agents",18,3.5,4.0,5,2,3.0,4.0
Contact job applicants to inform them of the status of their applications.,Human Resources Specialists,18,3.44,3.5,5,2,3.0,4.0
Create back-ups of robot programs or parameters.,Robotics Engineers,18,3.22,3.0,5,1,3.0,4.0
Create or use statistical models for the analysis of genetic data.,Geneticists,18,3.22,3.0,4,2,3.0,4.0
Maintain databases of experiment characteristics or results.,Bioengineers and Biomedical Engineers,18,3.22,4.0,4,1,3.0,4.0
Evaluate genetic data by performing appropriate mathematical or statistical calculations and analyses.,Geneticists,18,3.17,3.0,4,2,3.0,4.0
"Maintain databases of geodetic and related information, including coordinate, descriptive, or quality assurance data.",Geodetic Surveyors,18,3.17,3.5,4,1,3.0,4.0
Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.,Compliance Officers,18,3.17,3.0,4,2,3.0,4.0
Maintain project logbook records or computer program files.,Environmental Engineering Technologists and Technicians,18,3.11,3.0,4,1,3.0,4.0
"Enter data, such as demographic characteristics, history and extent of disease, diagnostic procedures, or treatment into computer.",Medical Records Specialists,18,3.0,3.0,5,1,2.0,4.0
Maintain accurate record or batch-record documentation of nanoproduction.,Nanotechnology Engineering Technologists and Technicians,18,3.0,3.0,4,1,2.25,4.0
Maintain system logs or manuals to document testing or operation of equipment.,Electrical and Electronic Engineering Technologists and Technicians,18,3.0,3.0,4,1,2.25,4.0
Contact borrowers with delinquent accounts to obtain payment in full or to negotiate repayment plans.,Loan Officers,18,2.94,3.0,4,2,3.0,3.0
Maintain service records of robotic equipment or automated production systems.,Robotics Technicians,18,2.94,3.0,4,1,3.0,4.0
Maintain technical project files.,Mechatronics Engineers,18,2.89,3.0,4,1,2.0,4.0
"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted.",Food Service Managers,18,2.89,3.0,4,1,3.0,3.0
Impose payment deadlines on delinquent taxpayers and monitor payments to ensure that deadlines are met.,"Tax Examiners and Collectors, and Revenue Agents",18,2.83,3.0,4,2,2.25,3.0
Control operational budget and expenditures.,Computer and Information Systems Managers,18,2.78,3.0,4,1,2.0,3.0
"Input details of specimen processing, analysis, and technical issues into logs or laboratory information systems (LIS).",Cytogenetic Technologists,18,2.72,3.0,4,1,2.0,4.0
Input details of specimens into logs or computer systems.,Cytogenetic Technologists,18,2.72,3.0,4,1,2.0,4.0
Enter data from analysis of medical tests or clinical results into computer for storage.,Medical and Clinical Laboratory Technologists,18,2.67,3.0,4,1,2.0,4.0
Manage communications budgets.,Public Relations Managers,18,2.67,3.0,4,1,2.0,3.0
Manage fundraising budgets.,Fundraising Managers,18,2.67,3.0,4,1,2.0,3.0
Maintain records of drilling and production operations.,Petroleum Engineers,18,2.61,3.0,4,1,2.0,3.0
Maintain records of performance reports for future reference.,Aerospace Engineers,18,2.61,3.0,4,1,2.0,3.0
"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",Advertising and Promotions Managers,18,2.61,3.0,4,1,2.0,3.0
"Maintain records of engineering department activities, including expense records and details of equipment maintenance and repairs.",Marine Engineers and Naval Architects,18,2.56,3.0,4,1,2.0,3.0
"Compute amounts, such as space available, shipping, storage, or demurrage charges, using computer or price list.","Shipping, Receiving, and Inventory Clerks",18,2.5,3.0,4,1,2.0,3.0
"Prepare correspondence, reports of inspections or investigations, or recommendations for action.",Government Property Inspectors and Investigators,18,2.39,2.0,3,2,2.0,3.0
Procure parts and maintain inventory and related documentation.,Electrical and Electronic Engineering Technologists and Technicians,18,2.33,2.5,3,1,2.0,3.0
"Calculate weight, volume, or cost of goods to be moved.",Freight Forwarders,18,2.28,2.0,4,1,2.0,3.0
Manage wind project costs to stay within budget limits.,Wind Energy Development Managers,18,2.28,2.0,3,1,2.0,3.0
Participate in preparation and management of research budgets and monetary disbursements.,Clinical Research Coordinators,18,2.28,2.0,3,1,2.0,3.0
Estimate freight or postal rates and record shipment costs and weights.,Cargo and Freight Agents,18,2.22,2.0,4,1,2.0,3.0
"Obtain, update, or maintain plans, permits, or standard operating procedures.",Environmental Engineers,18,2.22,2.0,4,1,2.0,3.0
